"日付け","終値","始値","高値","安値","出来高","前日比%"
"２月 2013","975.66","945.54","981.80","930.04","7.14M","3.77%"
"１月 2013","940.25","876.97","942.08","862.62","6.74M","9.36%"
"12月 2012","859.80","785.48","861.57","776.83","5.01M","10.02%"
"11月 2012","781.46","743.02","787.74","718.36","3.85M","5.27%"
"10月 2012","742.33","732.78","757.59","710.32","3.64M","0.67%"
"９月 2012","737.42","731.87","769.54","715.05","3.15M","0.79%"
"８月 2012","731.64","731.11","769.79","720.03","3.45M","-0.63%"
"７月 2012","736.31","778.66","781.94","703.31","3.31M","-4.39%"
"６月 2012","770.08","712.18","773.21","692.18","3.50M","7.03%"
"５月2012","719.49","801.76","801.97","711.38","3.72M","-10.54%"
"４月2012","804.27","862.07","863.23","800.55","3.55M","-5.86%"
